experiment,user,activity,activity_name,group,start,end,num_samples,duration_seconds,acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_rms,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_rms,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_rms,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_x_rms,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_y_rms,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max,gyro_z_rms
1,1,5,STANDING,Static,250,1232,982,19.64,1.020468,0.002957,1.009722,1.030556,1.020473,-0.130783,0.007326,-0.154167,-0.108333,0.130988,0.083431,0.010686,0.058333,0.109722,0.084113,0.005114,0.013007,-0.034819,0.059254,0.013976,-0.001756,0.00941,-0.037874,0.076664,0.009572,0.002741,0.009275,-0.041233,0.036346,0.009672
1,1,7,STAND_TO_SIT,Transition,1233,1392,159,3.18,0.990898,0.076865,0.780556,1.219444,0.993875,-0.123908,0.147949,-0.405556,0.183333,0.192982,0.152455,0.152866,-0.101389,0.405556,0.215895,0.066703,0.364253,-0.777937,0.757778,0.37031,0.109268,0.276026,-0.493885,0.719294,0.296867,-0.076635,0.310324,-0.865291,0.573297,0.319647
1,1,4,SITTING,Static,1393,2194,801,16.02,0.834622,0.075853,0.681944,1.0625,0.838061,0.33351,0.125029,0.138889,0.470833,0.356176,0.422885,0.052741,0.152778,0.568056,0.426161,0.008828,0.095722,-0.726319,0.556498,0.096128,0.006208,0.155776,-0.835053,1.128574,0.1559,-0.012846,0.100119,-0.600481,0.502131,0.10094
1,1,8,SIT_TO_STAND,Transition,2195,2359,164,3.28,0.944089,0.121309,0.741667,1.347222,0.951851,-0.08783,0.30006,-0.422222,0.456944,0.312651,0.135281,0.218909,-0.163889,0.526389,0.257337,-0.056498,0.213604,-0.833526,0.394314,0.220949,-0.170821,0.319562,-1.160033,0.43066,0.362353,0.211654,0.47508,-0.391565,1.93125,0.520095
1,1,5,STANDING,Static,2360,3374,1014,20.28,1.008583,0.020361,0.759722,1.244445,1.008788,-0.248658,0.036629,-0.619444,-0.125,0.251341,-0.020422,0.03219,-0.293056,0.136111,0.038122,0.073883,0.385755,-0.620334,2.27303,0.392767,-0.029104,0.150517,-1.373836,0.095906,0.153305,0.013909,0.083837,-0.238237,0.859182,0.084983
1,1,11,STAND_TO_LIE,Transition,3375,3662,287,5.74,0.440878,0.356068,-0.031944,1.259722,0.566708,0.562626,0.374547,-0.597222,0.952778,0.675894,0.422309,0.251582,-0.236111,0.911111,0.491568,-0.164233,0.417534,-1.68385,1.237308,0.448672,0.054172,0.336205,-1.948966,1.173778,0.340542,-0.356553,0.417258,-1.320996,0.387899,0.548848
1,1,6,LAYING,Static,3663,4538,875,17.5,0.188676,0.004755,0.140278,0.216667,0.188736,0.787335,0.003708,0.772222,0.805556,0.787344,0.574994,0.005375,0.558333,0.597222,0.575019,0.005657,0.005047,-0.023213,0.03146,0.007581,-0.000475,0.008984,-0.060781,0.106291,0.008996,0.002507,0.008002,-0.065973,0.025045,0.008385
1,1,10,LIE_TO_SIT,Transition,4539,4735,196,3.92,0.660204,0.31528,0.130556,1.020833,0.731622,0.466844,0.282814,0.058333,0.901389,0.545827,0.407348,0.111694,0.215278,0.605556,0.422384,0.251893,0.430962,-0.646295,1.48593,0.499178,0.012666,0.197301,-0.568105,0.481667,0.197707,0.387689,0.340396,-0.096517,0.847576,0.515919
1,1,4,SITTING,Static,4736,5667,931,18.62,0.954936,0.004336,0.926389,0.973611,0.954946,0.159111,0.009198,0.1,0.197222,0.159376,0.310898,0.00712,0.255556,0.334722,0.310979,0.005086,0.013287,-0.173486,0.046426,0.014227,-0.005646,0.034201,-0.514043,0.041539,0.034664,0.001066,0.011202,-0.115454,0.043677,0.011253
1,1,9,SIT_TO_LIE,Transition,5668,5859,191,3.82,0.580686,0.266719,0.225,1.052778,0.639011,0.624316,0.214694,0.095833,0.9375,0.6602,0.361307,0.175513,-0.1125,0.5875,0.401681,-0.274159,0.489886,-2.225688,0.296575,0.561383,-0.074043,0.30621,-0.814589,0.715629,0.315035,-0.320767,0.267707,-0.827417,0.204945,0.417802
