experiment,user,activity,activity_name,group,start,end,num_samples,duration_seconds,avg_distance_to_class,outlier_zscore,candidate_outlier
1,1,1,WALKING,Dynamic,7496,8078,582,11.64,7.559789,0.003854,False
1,1,1,WALKING,Dynamic,8356,9250,894,17.88,6.1752,-0.857891,False
1,1,1,WALKING,Dynamic,9657,10567,910,18.2,6.404493,-0.715183,False
1,1,1,WALKING,Dynamic,10750,11714,964,19.28,5.994398,-0.970419,False
2,1,1,WALKING,Dynamic,7624,8252,628,12.56,6.76146,-0.493013,False
2,1,1,WALKING,Dynamic,8618,9576,958,19.16,6.572461,-0.610643,False
2,1,1,WALKING,Dynamic,9991,10927,936,18.72,6.38902,-0.724813,False
2,1,1,WALKING,Dynamic,11311,12282,971,19.42,6.480827,-0.667674,False
3,2,1,WALKING,Dynamic,8434,9501,1067,21.34,6.966456,-0.365427,False
3,2,1,WALKING,Dynamic,9854,10926,1072,21.44,7.240481,-0.194878,False
4,2,1,WALKING,Dynamic,7306,8343,1037,20.74,6.854561,-0.435068,False
4,2,1,WALKING,Dynamic,8720,9686,966,19.32,6.472141,-0.67308,False
5,3,1,WALKING,Dynamic,8687,9837,1150,23.0,6.697373,-0.5329,False
5,3,1,WALKING,Dynamic,10240,11305,1065,21.3,6.466549,-0.676561,False
6,3,1,WALKING,Dynamic,8700,9666,966,19.32,6.008073,-0.961909,False
6,3,1,WALKING,Dynamic,10005,10940,935,18.7,6.162954,-0.865513,False
7,4,1,WALKING,Dynamic,8125,9269,1144,22.88,8.771268,0.757858,False
7,4,1,WALKING,Dynamic,9443,10483,1040,20.8,7.483812,-0.043433,False
8,4,1,WALKING,Dynamic,7873,8907,1034,20.68,9.471609,1.193739,False
8,4,1,WALKING,Dynamic,9045,10016,971,19.42,8.119422,0.35216,False
9,5,1,WALKING,Dynamic,7891,9023,1132,22.64,7.217012,-0.209485,False
9,5,1,WALKING,Dynamic,9216,10237,1021,20.42,7.11178,-0.27498,False
10,5,1,WALKING,Dynamic,7443,8357,914,18.28,6.272387,-0.797404,False
10,5,1,WALKING,Dynamic,8547,9452,905,18.1,6.408063,-0.712961,False
11,6,1,WALKING,Dynamic,8212,9291,1079,21.58,6.610771,-0.586799,False
11,6,1,WALKING,Dynamic,9520,10519,999,19.98,6.469387,-0.674794,False
12,6,1,WALKING,Dynamic,7925,8894,969,19.38,7.013161,-0.336358,False
12,6,1,WALKING,Dynamic,9124,10089,965,19.3,6.847209,-0.439644,False
13,7,1,WALKING,Dynamic,8074,9152,1078,21.56,8.068583,0.320519,False
13,7,1,WALKING,Dynamic,9390,10382,992,19.84,8.204599,0.405173,False
14,7,1,WALKING,Dynamic,7236,8205,969,19.38,7.585172,0.019652,False
14,7,1,WALKING,Dynamic,8503,9476,973,19.46,7.410036,-0.08935,False
15,8,1,WALKING,Dynamic,7275,8197,922,18.44,6.745575,-0.502899,False
15,8,1,WALKING,Dynamic,8518,9267,749,14.98,7.406075,-0.091815,False
15,8,1,WALKING,Dynamic,9382,9522,140,2.8,16.444929,5.533817,True
16,8,1,WALKING,Dynamic,9093,9948,855,17.1,9.656129,1.308581,False
16,8,1,WALKING,Dynamic,10224,11055,831,16.62,9.333804,1.107971,False
17,9,1,WALKING,Dynamic,7891,8811,920,18.4,6.37425,-0.734006,False
17,9,1,WALKING,Dynamic,9030,9950,920,18.4,6.472319,-0.672969,False
18,9,1,WALKING,Dynamic,7922,8823,901,18.02,7.90237,0.217071,False
18,9,1,WALKING,Dynamic,9014,9929,915,18.3,8.101446,0.340972,False
19,10,1,WALKING,Dynamic,8046,9011,965,19.3,6.669124,-0.550482,False
19,10,1,WALKING,Dynamic,9352,10272,920,18.4,6.43288,-0.697516,False
21,10,1,WALKING,Dynamic,1581,2498,917,18.34,8.1249,0.355569,False
21,10,1,WALKING,Dynamic,2741,3645,904,18.08,8.700223,0.713641,False
22,11,1,WALKING,Dynamic,7870,8980,1110,22.2,7.198615,-0.220935,False
22,11,1,WALKING,Dynamic,9197,9868,671,13.42,7.429567,-0.077194,False
22,11,1,WALKING,Dynamic,10046,10384,338,6.76,10.055341,1.557044,False
23,11,1,WALKING,Dynamic,8486,9529,1043,20.86,6.379019,-0.731038,False
23,11,1,WALKING,Dynamic,9707,10763,1056,21.12,6.367263,-0.738355,False
24,12,1,WALKING,Dynamic,8447,9432,985,19.7,6.678153,-0.544862,False
24,12,1,WALKING,Dynamic,9531,10487,956,19.12,6.285552,-0.78921,False
25,12,1,WALKING,Dynamic,8546,9406,860,17.2,7.235955,-0.197695,False
25,12,1,WALKING,Dynamic,9606,10436,830,16.6,7.465438,-0.054869,False
26,13,1,WALKING,Dynamic,8559,9528,969,19.38,7.242605,-0.193556,False
26,13,1,WALKING,Dynamic,9848,10942,1094,21.88,7.322449,-0.143862,False
27,13,1,WALKING,Dynamic,8583,9515,932,18.64,6.85811,-0.432859,False
27,13,1,WALKING,Dynamic,9759,10762,1003,20.06,7.379794,-0.108172,False
28,14,1,WALKING,Dynamic,8168,9303,1135,22.7,8.873359,0.821398,False
28,14,1,WALKING,Dynamic,9672,10688,1016,20.32,8.820858,0.788722,False
29,14,1,WALKING,Dynamic,8208,9240,1032,20.64,10.734054,1.979463,False
29,14,1,WALKING,Dynamic,9536,10538,1002,20.04,10.654669,1.930055,False
30,15,1,WALKING,Dynamic,8601,9593,992,19.84,6.649976,-0.562398,False
30,15,1,WALKING,Dynamic,9858,10817,959,19.18,6.286957,-0.788336,False
