experiment,user,activity,samples,seconds,minutes
1,1,5,982,19.64,0.32733333333333337
1,1,7,159,3.18,0.053000000000000005
1,1,4,801,16.02,0.267
1,1,8,164,3.28,0.05466666666666666
1,1,5,1014,20.28,0.338
1,1,11,287,5.74,0.09566666666666666
1,1,6,875,17.5,0.2916666666666667
1,1,10,196,3.92,0.06533333333333333
1,1,4,931,18.62,0.31033333333333335
1,1,9,191,3.82,0.06366666666666666
1,1,6,926,18.52,0.30866666666666664
1,1,12,190,3.8,0.06333333333333332
1,1,1,582,11.64,0.194
1,1,1,894,17.88,0.298
1,1,1,910,18.2,0.30333333333333334
1,1,1,964,19.28,0.32133333333333336
1,1,3,655,13.1,0.21833333333333332
1,1,2,630,12.6,0.21
1,1,3,623,12.46,0.2076666666666667
1,1,2,665,13.3,0.22166666666666668
1,1,3,623,12.46,0.2076666666666667
1,1,2,672,13.44,0.224
2,1,5,975,19.5,0.325
2,1,7,205,4.1,0.06833333333333333
2,1,4,788,15.76,0.26266666666666666
2,1,8,155,3.1,0.051666666666666666
2,1,5,926,18.52,0.30866666666666664
2,1,11,267,5.34,0.089
2,1,6,862,17.24,0.28733333333333333
2,1,10,183,3.66,0.061000000000000006
2,1,4,832,16.64,0.2773333333333333
2,1,9,236,4.72,0.07866666666666666
2,1,6,777,15.54,0.259
2,1,12,241,4.82,0.08033333333333334
2,1,1,628,12.56,0.20933333333333334
2,1,1,958,19.16,0.31933333333333336
2,1,1,936,18.72,0.312
2,1,1,971,19.42,0.3236666666666667
2,1,3,250,5.0,0.08333333333333333
2,1,3,432,8.64,0.14400000000000002
2,1,2,655,13.1,0.21833333333333332
2,1,3,647,12.94,0.21566666666666665
2,1,2,678,13.56,0.226
2,1,3,624,12.48,0.20800000000000002
2,1,2,700,14.0,0.23333333333333334
3,2,5,1100,22.0,0.36666666666666664
3,2,7,156,3.12,0.052000000000000005
3,2,4,941,18.82,0.31366666666666665
3,2,8,141,2.82,0.047
3,2,5,1134,22.68,0.378
3,2,11,417,8.34,0.13899999999999998
3,2,6,816,16.32,0.272
