Exp,User,Act,Activity,Start,End,Avg Dist,z-score,Flag
1,1,6,LAYING,5860,6786,21.53,6.04,True
15,8,1,WALKING,9382,9522,16.44,5.53,True
39,19,3,WALKING_DOWNSTAIRS,13916,14411,16.06,5.36,True
18,9,4,SITTING,1592,2454,18.22,5.00,True
19,10,9,SIT_TO_LIE,5703,5883,15.00,4.55,True
29,14,2,WALKING_UPSTAIRS,13575,14286,14.09,4.45,True
60,30,5,STANDING,5855,7131,13.49,4.36,True
39,19,3,WALKING_DOWNSTAIRS,15128,15607,14.04,4.09,True
50,25,6,LAYING,4648,6024,16.80,4.05,True
19,10,2,WALKING_UPSTAIRS,14440,15051,13.45,4.01,True
20,10,10,LIE_TO_SIT,4505,4618,12.96,3.82,True
20,10,6,LAYING,3698,4504,15.99,3.72,True
39,19,3,WALKING_DOWNSTAIRS,12576,13063,13.27,3.60,True
39,19,1,WALKING,9950,10853,13.31,3.58,True
29,14,3,WALKING_DOWNSTAIRS,14429,14997,13.17,3.54,True
11,6,4,SITTING,5081,6138,14.92,3.50,True
20,10,12,LIE_TO_STAND,7008,7144,12.43,3.37,True
29,14,2,WALKING_UPSTAIRS,15121,15753,12.48,3.35,True
2,1,6,LAYING,5690,6467,15.01,3.30,True
39,19,2,WALKING_UPSTAIRS,15743,16229,12.41,3.30,True
29,14,2,WALKING_UPSTAIRS,12030,12691,12.40,3.30,True
20,10,11,STAND_TO_LIE,3545,3697,11.55,3.29,True
19,10,12,LIE_TO_STAND,6920,7037,12.29,3.27,True
29,14,3,WALKING_DOWNSTAIRS,12879,13442,12.70,3.24,True
20,10,9,SIT_TO_LIE,5584,5742,12.69,3.12,True
39,19,1,WALKING,11080,11958,12.53,3.10,True
20,10,8,SIT_TO_STAND,2541,2618,11.58,3.09,True
47,23,8,SIT_TO_STAND,2775,2924,11.51,3.04,True
29,14,5,STANDING,2719,3811,11.69,3.03,True
19,10,10,LIE_TO_SIT,4656,4824,11.86,3.01,True
20,10,7,STAND_TO_SIT,1250,1361,11.68,3.00,True
39,19,4,SITTING,1887,2935,13.78,2.98,True
38,19,9,SIT_TO_LIE,9037,9212,12.14,2.79,True
12,6,7,STAND_TO_SIT,1219,1369,11.25,2.67,True
38,19,3,WALKING_DOWNSTAIRS,15536,16062,11.76,2.66,True
47,23,7,STAND_TO_SIT,1598,1819,11.12,2.58,True
28,14,2,WALKING_UPSTAIRS,14500,15146,11.33,2.57,True
40,20,8,SIT_TO_STAND,3618,3799,10.89,2.54,True
17,9,2,WALKING_UPSTAIRS,11585,11907,11.27,2.52,True
58,29,2,WALKING_UPSTAIRS,17110,17331,11.22,2.49,True
13,7,12,LIE_TO_STAND,6999,7204,11.14,2.45,True
28,14,2,WALKING_UPSTAIRS,16060,16707,11.15,2.44,True
45,22,11,STAND_TO_LIE,4382,4520,10.55,2.41,True
39,19,5,STANDING,3058,4206,10.84,2.40,True
18,9,10,LIE_TO_SIT,4703,4830,11.01,2.40,True
38,19,1,WALKING,11469,12479,11.39,2.39,True
5,3,4,SITTING,1507,2360,12.47,2.39,True
12,6,4,SITTING,4667,5732,12.38,2.34,True
52,26,4,SITTING,2139,3607,12.28,2.30,True
39,19,8,SIT_TO_STAND,2936,3057,10.58,2.29,True
50,25,3,WALKING_DOWNSTAIRS,15833,16557,11.17,2.28,True
18,9,12,LIE_TO_STAND,7112,7260,10.89,2.27,True
29,14,3,WALKING_DOWNSTAIRS,11254,11807,11.13,2.26,True
13,7,4,SITTING,1613,2477,12.11,2.22,True
47,23,5,STANDING,2925,4223,10.60,2.22,True
41,20,5,STANDING,3061,4293,10.59,2.21,True
31,15,7,STAND_TO_SIT,1230,1367,10.64,2.21,True
1,1,4,SITTING,1393,2194,12.05,2.19,True
38,19,1,WALKING,12579,13502,11.05,2.18,True
39,19,7,STAND_TO_SIT,1724,1886,10.59,2.18,True
18,9,5,STANDING,2552,3522,10.51,2.16,True
51,25,6,LAYING,7508,8835,12.18,2.11,True
6,3,4,SITTING,5409,6410,11.86,2.11,True
26,13,5,STANDING,2759,3728,10.44,2.10,True
39,19,10,LIE_TO_SIT,6097,6246,10.45,2.00,False
29,14,1,WALKING,8208,9240,10.73,1.98,False
38,19,4,SITTING,2977,4274,11.56,1.97,False
61,30,11,STAND_TO_LIE,4198,4446,10.01,1.95,False
29,14,1,WALKING,9536,10538,10.65,1.93,False
38,19,3,WALKING_DOWNSTAIRS,16952,17467,10.59,1.92,False
46,23,3,WALKING_DOWNSTAIRS,13825,14494,10.58,1.91,False
51,25,6,LAYING,4529,5981,11.64,1.89,False
18,9,9,SIT_TO_LIE,5795,5955,10.69,1.89,False
28,14,2,WALKING_UPSTAIRS,12736,13418,10.33,1.88,False
17,9,2,WALKING_UPSTAIRS,11922,12370,10.30,1.86,False
33,16,11,STAND_TO_LIE,5146,5337,9.89,1.84,False
30,15,6,LAYING,5966,7515,11.52,1.84,False
60,30,11,STAND_TO_LIE,7132,7287,9.85,1.80,False
41,20,1,WALKING,9946,10785,10.38,1.76,False
56,28,4,SITTING,2095,3535,11.04,1.73,False
3,2,7,STAND_TO_SIT,1399,1555,10.00,1.73,False
46,23,1,WALKING,11694,12723,10.32,1.72,False
41,20,1,WALKING,10961,11828,10.30,1.71,False
16,8,2,WALKING_UPSTAIRS,13785,14294,10.05,1.69,False
21,10,2,WALKING_UPSTAIRS,4896,5472,10.04,1.69,False
44,22,11,STAND_TO_LIE,4247,4419,9.70,1.67,False
14,7,4,SITTING,1478,2347,10.85,1.65,False
2,1,3,WALKING_DOWNSTAIRS,13129,13379,10.15,1.64,False
47,23,1,WALKING,9607,10673,10.12,1.60,False
41,20,2,WALKING_UPSTAIRS,16103,16738,9.91,1.59,False
46,23,5,STANDING,4036,5179,9.75,1.59,False
50,25,10,LIE_TO_SIT,6025,6304,9.88,1.58,False
55,27,3,WALKING_DOWNSTAIRS,16960,17191,10.04,1.57,False
22,11,1,WALKING,10046,10384,10.06,1.56,False
61,30,5,STANDING,2901,4197,9.70,1.55,False
21,10,2,WALKING_UPSTAIRS,6189,6797,9.84,1.55,False
33,16,2,WALKING_UPSTAIRS,17568,18201,9.80,1.52,False
16,8,8,SIT_TO_STAND,7357,7473,9.62,1.52,False
60,30,4,SITTING,4693,5703,10.54,1.51,False
41,20,5,STANDING,303,1713,9.63,1.50,False
